offset,class,n,mean_sequence_order_score,median_sequence_order_score
5,breakthrough,8,0.4458333333333333,0.45
5,control,19,0.4245614035087719,0.4666666666666667
3,breakthrough,10,0.38333333333333336,0.4166666666666667
3,control,22,0.4075757575757576,0.4
1,breakthrough,11,0.3878787878787879,0.3333333333333333
1,control,22,0.42424242424242425,0.4166666666666667
