metric,n_pairs,positive_mean,control_mean,mean_difference,paired_cohens_d,wilcoxon_one_sided_p,permutation_one_sided_p,bh_fdr_permutation
post_growth,6,0.8577807226257287,0.7424521304057817,0.11532859221994714,0.4041385891202561,0.28125,0.24055188962207558,0.30068986202759446
topic_diffusion,6,0.586845738578104,0.4704261929072568,0.11641954567084711,0.44155244439965463,0.34375,0.22155568886222757,0.30068986202759446
normalization_index,6,0.7508493901508057,0.5792750716297416,0.17157431852106417,0.7875076505963712,0.078125,0.06638672265546891,0.17046590681863627
post_adoption,6,0.0,0.0,0.0,0.0,1.0,1.0,1.0
transformation,6,0.5488689628386596,0.448038348735695,0.10083061410296461,0.8048742637842374,0.078125,0.06818636272745451,0.17046590681863627
