metric,n,pearson_r,spearman_rho,mean_abs_difference
bookwide_pbsk,10,0.177258562659935,0.05454545454545454,0.3910729734303725
core_geometry_score,10,0.4945817535991507,0.6121212121212121,0.13357480285524403
skg,10,-0.46054849770859024,-0.22424242424242422,0.167599196917089
possibility_pressure,10,-0.3113482110251917,-0.4666666666666666,0.05145365361343105
question_pressure,10,-0.08048176226431338,0.06666666666666665,0.04853756414668403
collision_index,10,0.17238396280168986,0.0303030303030303,0.0678487381997445
insight_coherence,10,-0.20960416399812348,-0.05627748595326502,0.26455582453570675
sequence_order_score,10,-0.5817532547482065,-0.6636116657465106,0.14333333333333337
