removed_component,n,n_features,roc_auc,pr_auc,brier,delta_roc_auc_vs_full
none,92,15,0.49972632731253425,0.34098201495304337,0.2939140195879421,0.0
stage_possibility,92,14,0.5019157088122606,0.33776166129772983,0.28888473907958273,0.002189381499726306
stage_question,92,14,0.49644225506294476,0.3474974900401259,0.29322638984174976,-0.003284072249589487
stage_pattern,92,14,0.49863163656267107,0.34712056066117475,0.285411659668808,-0.0010946907498631808
stage_imagination,92,14,0.4975369458128079,0.3596936929783513,0.2913729477677132,-0.0021893814997263616
stage_insight,92,14,0.4986316365626711,0.34072794049042937,0.29349959147124016,-0.0010946907498631253
stage_discovery_readiness,92,14,0.5084838533114395,0.35411828253500927,0.2918566532869709,0.00875752599890528
bookwide_pbsk,92,14,0.4986316365626711,0.3412259254415769,0.29102628535399117,-0.0010946907498631253
core_geometry_score,92,14,0.5150519978106185,0.35479256404285003,0.2877019379037591,0.015325670498084254
