baseline_model,augmented_model,n,n_groups,delta_roc_auc,delta_ci_low,delta_ci_high,bootstrap_one_sided_p
Activity/citation baseline,Baseline + legacy PBS,92,12,-0.08264915161466885,-0.2974920350457986,0.07139474779712762,0.7691154422788605
Activity/citation baseline,Baseline + book-wide PBSK,92,12,0.004378762999452612,-0.06718759458232441,0.10890895784543315,0.44427786106946526
Activity/citation baseline,Baseline + core geometry,92,12,-0.06841817186644783,-0.16336244470465788,-0.0006172364672365152,0.9790104947526237
Activity/citation baseline,Full theory logistic,92,12,0.025725232621784277,-0.17821729681608722,0.2296305970149253,0.3853073463268366
