offset,model,n,n_groups,n_features,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,brier,brier_ci_low,brier_ci_high,balanced_accuracy_at_0_5
5,Activity/citation baseline,27,12,7,0.4868421052631579,0.27128348214285714,0.6725219298245614,0.3092255369429282,0.21239285714285713,0.5104450505302776,0.286084130593225,0.24332044739288608,0.3584223352527677,0.513157894736842
5,Book-wide PBSK only,27,12,1,0.3618421052631579,0.15737874097007223,0.5462279040404038,0.25635968198468195,0.15355488165085687,0.4363627423301335,0.25785442451446866,0.25007858886654744,0.2677817937606321,0.4605263157894737
5,Core geometry only,27,12,1,0.46710526315789475,0.2220238095238095,0.6541729654824888,0.3291132941132941,0.19479271885521887,0.5438072823826501,0.2588263328716256,0.23494832352599393,0.2898817676379772,0.5493421052631579
5,Baseline + core geometry,27,12,8,0.4342105263157895,0.24333830500163456,0.6790021929824559,0.2815037631214101,0.1951990976700645,0.47608074534161493,0.2940048224670259,0.24397203263928166,0.35932475196790853,0.5394736842105263
5,Full theory logistic,27,12,36,0.4868421052631579,0.27610389610389613,0.7137626262626257,0.34435360820809735,0.2051911371533797,0.6552962342450325,0.276602736172105,0.19686278767251583,0.365200463764606,0.4934210526315789
3,Activity/citation baseline,32,12,7,0.5590909090909091,0.42158032185206096,0.6963438735177863,0.3735625550447575,0.2759582084582084,0.6910727337796302,0.26132470723426315,0.23280662784124403,0.2953127693172948,0.5727272727272728
3,Book-wide PBSK only,32,12,1,0.40454545454545454,0.22844202898550722,0.5282196969696968,0.2826722893964273,0.23690897613617118,0.4082025083166228,0.2577496087980578,0.24921591838565468,0.2664828385117928,0.46818181818181814
3,Core geometry only,32,12,1,0.2909090909090909,0.12452651515151515,0.5074784405318001,0.2819591387151357,0.21061179076453676,0.4652496268341287,0.2619255403615361,0.25082136276693523,0.28182262393813123,0.37727272727272726
3,Baseline + core geometry,32,12,8,0.5181818181818182,0.3744791666666667,0.6602766798418971,0.3346842167952225,0.25774136943973897,0.5929097357927686,0.26920549549838074,0.23753136224183682,0.30729440397537133,0.5
3,Full theory logistic,32,12,36,0.5499999999999999,0.3450667388167388,0.7037878787878787,0.3900370992069284,0.2857612355438442,0.6041036885863287,0.2812231902610014,0.2376255518950286,0.32071216050846163,0.5409090909090909
1,Activity/citation baseline,33,12,7,0.5991735537190084,0.3313636363636364,0.7828781890046712,0.433970521973312,0.3329670601918804,0.7041495679299385,0.26057995576721815,0.20365499439549845,0.3151363252973803,0.5227272727272727
1,Book-wide PBSK only,33,12,1,0.2975206611570248,0.15893595041322317,0.4156164909969256,0.2598626512811466,0.2388603652030235,0.31610544710938865,0.26695012844870847,0.25569744832704333,0.2823589049564664,0.34090909090909094
1,Core geometry only,33,12,1,0.4256198347107438,0.1725296442687747,0.6804078332734458,0.4022781679085401,0.2602672139441441,0.6525283805799934,0.2504875248060764,0.23852503934114924,0.26437567985263266,0.5
1,Baseline + core geometry,33,12,8,0.5702479338842975,0.30154761904761906,0.7539666364734299,0.4339286877512382,0.34590082589176796,0.701675027586792,0.2655113702145457,0.207905353972761,0.3261609837419388,0.4772727272727273
1,Full theory logistic,33,12,36,0.6446280991735538,0.39079244829244825,0.8072916666666665,0.5932837995337995,0.3636249848129391,0.792991973304473,0.2462885843326119,0.15863727359849705,0.3489377597798583,0.5681818181818181
